"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 11 14:55:59 GMT 2022","Thu Aug 11 14:56:11 GMT 2022","12211","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullNameTest","Наличие подсказки при написании неполного имени",""
"passed","Thu Aug 11 14:55:30 GMT 2022","Thu Aug 11 14:55:44 GMT 2022","13955","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","requestCodeFromSmsWithCorrectDataTest","Запрос кода из смс при отправки корректных данных",""
"passed","Thu Aug 11 14:50:05 GMT 2022","Thu Aug 11 14:50:18 GMT 2022","13701","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkHinWithNonCyrillicContactPersonTest","Есть подсказка при написании контактного лица не кириллицей",""
"passed","Thu Aug 11 14:56:11 GMT 2022","Thu Aug 11 14:56:26 GMT 2022","14557","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithoutDateOfBirthdayTest","Наличие подсказки при неполной дате рождения",""
"passed","Thu Aug 11 14:54:43 GMT 2022","Thu Aug 11 14:55:00 GMT 2022","17534","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithIncorrectEmailTest","Наличия подсказки при вводе некорректного email",""
"passed","Thu Aug 11 14:52:56 GMT 2022","Thu Aug 11 14:53:18 GMT 2022","22820","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditForGoodsTest","Заявка на подключение программы: ""Кредит на товар""",""
"passed","Thu Aug 11 14:53:18 GMT 2022","Thu Aug 11 14:53:32 GMT 2022","13181","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCreditCardTest","Заявка на подключение программы: ""Кредитная карта""",""
"passed","Thu Aug 11 14:49:41 GMT 2022","Thu Aug 11 14:50:04 GMT 2022","22996","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkHintsWhenSendingEmptyFieldsTest","Проверка наличия подсказок при отправлении пустых полей",""
"passed","Thu Aug 11 14:54:04 GMT 2022","Thu Aug 11 14:54:17 GMT 2022","13162","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramMortgageTest","Заявка на подключение программы: ""Ипотека""",""
"passed","Thu Aug 11 14:53:32 GMT 2022","Thu Aug 11 14:53:45 GMT 2022","13210","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramCarLoanTest","Заявка на подключение программы: ""Автокредит""",""
"failed","Thu Aug 11 14:50:18 GMT 2022","Thu Aug 11 14:50:58 GMT 2022","40228","","Проверка работы формы заказа зарплатного проекта","","tests.SalaryProjectTest","checkSendApplicationWithIncorrectPhoneNumberTest","Невозможность отправить заявку с некорректным телефоном",""
"passed","Thu Aug 11 14:55:14 GMT 2022","Thu Aug 11 14:55:30 GMT 2022","15438","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNotFullMobilePhoneTest","Наличия подсказки при написании неполного номера телефона",""
"passed","Thu Aug 11 14:55:01 GMT 2022","Thu Aug 11 14:55:14 GMT 2022","13960","","Проверка работы формы заказа кредитной карты","","tests.OrderCreditCardTest","haveHintWithNameNotCyrillicTest","Наличие подсказки при написании имени латинскими буквами",""
"passed","Thu Aug 11 14:52:43 GMT 2022","Thu Aug 11 14:52:56 GMT 2022","12166","","Проверка страницы ""Инвестиции""","","tests.InvestmentsPageTest","downloadInstructionsTest","Скачивание файла инструкции",""
"passed","Thu Aug 11 14:53:45 GMT 2022","Thu Aug 11 14:54:04 GMT 2022","18751","","Поверка страницы: Кредитные каникулы","","tests.CreditHolidaysTest","applicationForConnectingTheProgramNonPurposeLoanTest","Заявка на подключение программы: ""Нецелевой потребительский кредит""",""
